Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2920,JAPAN,2021,JPN,Tonga,Maritime Safety Management_14,163.6341272,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,251,JAPAN,2022,JPN,Bhutan,Road Asset Management (A)_01,184.1308151,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1031,JAPAN,2022,JPN,Ethiopia,Road Asset Management (B)_02,187.0601689,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1189,JAPAN,2022,JPN,Ghana,Road Asset Management (B)_03,187.0601689,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1911,JAPAN,2022,JPN,Liberia,Road Asset Management (B)_04,187.0601689,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2765,JAPAN,2022,JPN,Namibia,Road Asset Management (B)_06,187.0601689,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3686,JAPAN,2022,JPN,South Sudan,Road Asset Management (B)_07,187.0601689,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2666,JAPAN,2022,JPN,"Developing countries, unspecified",Expenses for Priority Sectors/Regions in Transportation/Traffic/General,190.7465896,"Value too small, please check original document for unit",Committed,Multi-bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2022,238,EU,2022,,"America, regional",Partnership Instrument - Annual Action Programme 2016 (first phase),206.3157895,"Value too small, please check original document for unit",Committed,Bilateral,OOF,Grant,Mitigation,Transport,210: Transport and storage,UA (1),UA (1),The AAP 2016 is shaped by the thematic priorities laid down in the PI Regulation and is based on the PI Multi-annual indicative programme (MIP) (2014-2017) adopted by the European Commission on 3 July 2014.,Transport,,,,,210: Transport and storage,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,672,JAPAN,2022,JPN,Costa Rica,Development of Urban Road Network_02,211.2939146,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,226,JAPAN,2022,JPN,Benin,Development of Urban Road Network_01,211.297719,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,964,JAPAN,2021,JPN,India,Maritime Safety and Security Policy Program_02,219.5227509,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1415,JAPAN,2021,JPN,Malaysia,Maritime Safety and Security Policy Program_03,219.5227509,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2415,JAPAN,2021,JPN,Philippines,Maritime Safety and Security Policy Program_06,219.5227509,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2853,JAPAN,2021,JPN,Thailand,Maritime Safety and Security Policy Program_11,219.5227509,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1269,JAPAN,2021,JPN,Laos,Comprehensive Bridge Engineering,226.6614429,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2268,JAPAN,2021,JPN,Papua New Guinea,Road Asset Management (A)_02,234.2739217,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2890,JAPAN,2021,JPN,Timor-Leste,Road Asset Management (A)_04,234.2739217,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3366,JAPAN,2022,JPN,Philippines,Core Human Resource Development for Road Asset Management (JFY2020)_05,234.9950505,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,153,JAPAN,2021,JPN,Bangladesh,Maritime Safety Management_01,245.4580243,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1042,JAPAN,2021,JPN,Indonesia,Maritime Safety Management_04,245.4580243,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,557,JAPAN,2022,JPN,Cameroon,Road Maintenance (E)_04,248.3939912,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,698,JAPAN,2022,JPN,Cote d'Ivoire,Road Maintenance (E)_05,248.3939912,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1253,JAPAN,2022,JPN,Guinea,Road Maintenance (E)_08,248.3939912,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1957,JAPAN,2022,JPN,Madagascar,Road Maintenance (E)_09,248.3939912,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3544,JAPAN,2022,JPN,Senegal,Road Maintenance (E)_12,248.3939912,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1834,JAPAN,2021,JPN,Multi-regional assistance,Comprehensive Urban Transportation Planning_09,250.560344,"Value too small, please check original document for unit",Disbursed,Regional,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1414,JAPAN,2021,JPN,Malaysia,Comprehensive Operational Capacity Enhancement of Malaysian Maritime Enforcement Agency,262.951692,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1936,JAPAN,2021,JPN,Myanmar,The Project on Improvement of Railway Service and Rolling Stock Maintenance,264.5233887,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2412,JAPAN,2021,JPN,Philippines,"Expert on Railway Planning, Operation and Management",275.5024874,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2099,JAPAN,2022,JPN,Maldives,Road Maintenance (C)_02,285.4560243,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,431,JAPAN,2021,JPN,Cameroon,Road Asset Management (B)_01,293.9801738,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2558,JAPAN,2021,JPN,Senegal,Master Plan Development Project of Dakar New Port (in Ndayane Area),307.4876542,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2408,JAPAN,2021,JPN,Philippines,Maritime Safety Management_09,327.2500319,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2267,JAPAN,2021,JPN,Papua New Guinea,Maritime Safety Management_08,327.2728101,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,483,JAPAN,2022,JPN,Cambodia,Road Asset Management (A)_02,368.2616301,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,904,JAPAN,2022,JPN,Egypt,Road Asset Management (B)_01,374.1203379,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4448,JAPAN,2022,JPN,Zambia,Road Asset Management (B)_08,374.1203379,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,628,JAPAN,2021,JPN,Egypt,Sustainable Port Development and Planning (For Port Engineer)_03,395.7076735,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1088,JAPAN,2021,JPN,Iran,Sustainable Port Development and Planning (For Port Engineer)_04,395.7076735,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1606,JAPAN,2021,JPN,Mozambique,Sustainable Port Development and Planning (For Port Engineer)_08,395.7076735,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2419,JAPAN,2021,JPN,Philippines,Sustainable Port Development and Planning (For Port Engineer)_11,395.7076735,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2560,JAPAN,2021,JPN,Senegal,Sustainable Port Development and Planning (For Port Engineer)_14,395.7076735,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2752,JAPAN,2021,JPN,Sudan,Improvement of Port Cargo Transport Efficiency for African Countries_07,404.2358365,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1087,JAPAN,2021,JPN,Iran,Ship Safety_02,415.0327095,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2702,JAPAN,2021,JPN,Sri Lanka,Maritime Safety and Security Policy Program_08,439.0363905,"Value too small, please check original document for unit",Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1030,JAPAN,2022,JPN,Ethiopia,Road Maintenance (D)_03,442.3096091,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1188,JAPAN,2022,JPN,Ghana,Road Maintenance (D)_05,442.3096091,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1910,JAPAN,2022,JPN,Liberia,Road Maintenance (D)_07,442.3096091,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2343,JAPAN,2022,JPN,Morocco,Road Maintenance (D)_10,442.3096091,"Value too small, please check original document for unit",Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
